battery_id,model_name,number_of_discharge_cycles,number_of_train_cycles,number_of_test_cycles,number_of_train_rows,number_of_test_rows,train_rmse_v,test_rmse_v,train_mae_v,test_mae_v,baseline_intercept,coef_soc,coef_soc_squared,coef_soc_cubed,coef_discharge_current_a
B0036,temperature_aware_hybrid_residual,197,137,60,35337,11728,0.008674479193392029,0.010618156086359232,0.003137617800423394,0.007136760177153064,3.2546357716707854,2.3750218187381655,-4.123155241509637,2.678241682987375,-0.13605334186000168
B0038,physics_inspired_baseline,47,32,15,13609,5988,0.09111680694764861,0.0874146445404062,0.05175338482224638,0.049982181124808504,3.274229544527505,2.980270114653884,-5.29211093413912,3.3228071634679592,-0.19740598287623023
B0038,hybrid_residual_without_temperature,47,32,15,13609,5988,0.004648026923950011,0.029561884185754318,0.0016325848525953327,0.007951811799954639,3.274229544527505,2.980270114653884,-5.29211093413912,3.3228071634679592,-0.19740598287623023
B0038,mlp_hybrid_residual_without_temperature,47,32,15,13609,5988,0.025705910630882692,0.3129522292714299,0.00799880308771486,0.09379250086509305,3.274229544527505,2.980270114653884,-5.29211093413912,3.3228071634679592,-0.19740598287623023
B0038,temperature_aware_hybrid_residual,47,32,15,13609,5988,0.004105661649106492,0.0359349894612682,0.0015672355507192447,0.009329433713563621,3.274229544527505,2.980270114653884,-5.29211093413912,3.3228071634679592,-0.19740598287623023
B0039,physics_inspired_baseline,47,32,15,12908,5822,0.08017876564020769,0.07676151236113432,0.044918223691822225,0.047587700128546497,3.3779490003774755,2.4273067793099656,-4.184316379269141,2.716646767820191,-0.21704606444077135
B0039,hybrid_residual_without_temperature,47,32,15,12908,5822,0.0031799877304230562,0.04627834877344309,0.0013668796401244904,0.022139511953044314,3.3779490003774755,2.4273067793099656,-4.184316379269141,2.716646767820191,-0.21704606444077135
B0039,mlp_hybrid_residual_without_temperature,47,32,15,12908,5822,0.02172367688682137,0.2549192351397742,0.009468675385763826,0.1161968787640659,3.3779490003774755,2.4273067793099656,-4.184316379269141,2.716646767820191,-0.21704606444077135
B0039,temperature_aware_hybrid_residual,47,32,15,12908,5822,0.0031617787422133833,0.04590094372107293,0.0013460777326249251,0.02176071345277508,3.3779490003774755,2.4273067793099656,-4.184316379269141,2.716646767820191,-0.21704606444077135
B0040,physics_inspired_baseline,47,32,15,12824,5618,0.05872162414999046,0.06124534076462107,0.036402602807432675,0.038312531696532995,3.3810865209044336,2.294215842784748,-3.925228908868536,2.534576985105839,-0.20300460610002236
B0040,hybrid_residual_without_temperature,47,32,15,12824,5618,0.0019333748789799072,0.03105735531081452,0.0010308922050599472,0.011153948816527122,3.3810865209044336,2.294215842784748,-3.925228908868536,2.534576985105839,-0.20300460610002236
B0040,mlp_hybrid_residual_without_temperature,47,32,15,12824,5618,0.008581966572744572,0.1672040056271735,0.003861865585098802,0.06271766917018178,3.3810865209044336,2.294215842784748,-3.925228908868536,2.534576985105839,-0.20300460610002236
B0040,temperature_aware_hybrid_residual,47,32,15,12824,5618,0.00228583184342335,0.0302274379071936,0.0010757962876662493,0.010809747212365182,3.3810865209044336,2.294215842784748,-3.925228908868536,2.534576985105839,-0.20300460610002236
B0041,physics_inspired_baseline,67,46,21,1766,6084,0.11689577079634972,0.11103700257110306,0.07776356872572382,0.08200718831965788,2.554895249540459,5.256969987334033,-9.52637625575636,5.843776238308905,-0.07321955993581408
